IngredientName,num_disclosures
Water,3255
Methanol,1242
Ethylene Glycol,663
"Crystalline silica, quartz",506
Hydrochloric Acid,484
Proprietary,468
Isopropanol,438
Sodium chloride,421
Ethanol,419
Sodium Chloride,353
Glutaraldehyde,325
Guar Gum,324
Ammonium Persulfate,318
Sodium Hydroxide,317
Potassium Hydroxide,313
Crystalline Silica (Quartz),273
Guar gum,253
Ammonium chloride,251
Petroleum Distillates,241
Methyl Alcohol,241
Sodium hydroxide,240
Quaternary amine,230
Acetic acid,223
Propargyl Alcohol,206
Hydrochloric acid,206
Hydrogen Chloride,200
2-Butoxyethanol,196
Citric Acid,193
Surfactant,180
Surfactant mixture,178
