StateName,Latitude,Longitude,num_disclosures
Texas,31.548838,-101.673378,10641
Oklahoma,34.625795,-97.567558,1854
Colorado,40.062648,-105.035359,1690
North Dakota,46.99794,-103.15487,1651
New Mexico,32.079511,-103.342281,1608
Pennsylvania,41.62915,-76.12966,973
Wyoming,42.526015,-109.657,591
Utah,40.2737,-110.200786,477
Ohio,40.536295,-80.973149,398
Louisiana,32.379385,-93.510989,391
West Virginia,39.30756,-80.73345,349
California,35.534732,-119.783414,344
Arkansas,35.310857,-92.396989,166
Montana,47.863963,-104.726421,77
Kansas,37.411951,-99.548862,74
Virginia,37.177857,-82.23704,68
Alaska,70.296919,-149.092638,36
Mississippi,31.58274,-89.02782,15
Alabama,33.46836,-88.09585,13
Kentucky,38.050108,-82.601708,5
Michigan,44.1236,-84.9563,2
New York,39.790581,-81.126711,1
Nevada,40.863633,-115.406625,1
Illinois,38.46083,-88.546944,1
Idaho,44.045934,-116.791528,1
